url,title,author,type,insertionDate,refreshNB,watchTime,actionNB,videoViewsNB,parent_id,parti,Unnamed: 11,ED,EG,G,D,C,P,EU,O
HR_UZhz9dwQ,Européennes: Bardella a-t-il tué le match ?,Le Figaro,regular,2024-05-08T22:36:08.532Z,,180000,0,1,,ED,9.0,1,0,0,0,0,1,1,0
TmIVC9AGTuo,"
          
          
          
          
            Jordan Bardella : LEurope doit mettre fin à une forme de naïveté à légard de la mondialisation
          
        ",France Inter,proposal,2024-05-08T22:36:09.521Z,,0,0,1,HR_UZhz9dwQ,ED,,1,0,0,0,0,1,1,0
Vl1QApX8--E,"
          
          
          
          
            Grand jury - Européennes 2024 : le grand débat | Évènement - 05/05/2024
          
        ",LCP - Assemblée nationale,proposal,2024-05-08T22:36:09.663Z,,0,0,1,HR_UZhz9dwQ,EU,,0,0,0,0,0,1,1,0
q9GAahkTLME,"
          
          
          
          
            Mineurs délinquants, Russie, Sciences Po… lintégralité de linterview de Marine Le Pen
          
        ",BFMTV,proposal,2024-05-08T22:36:09.683Z,,0,0,1,HR_UZhz9dwQ,ED,,1,0,0,0,0,1,0,0
t-WeuFES0LM,"
          
          
          
          
            Franz-Olivier Giesbert sur Emmanuel Macron : « C’est la génération TPMG : tout pour ma gueule »
          
        ",Europe 1,proposal,2024-05-08T22:36:09.690Z,,0,0,1,HR_UZhz9dwQ,P,,0,0,0,0,1,1,1,0
I0sVnSTBk2U,"
          
          
          
          
            Le résumé de Real Madrid / Bayern Munich - Ligue des Champions 2023-24 (1/2 finale retour)
          
        ",CANAL+ Sport,proposal,2024-05-08T22:36:09.701Z,,0,0,1,HR_UZhz9dwQ,O,,0,0,0,0,0,0,0,1
LE6s92s_OUQ,"
          
          
          
          
            Je suis inquiet de la dérive de Sciences Po: linterview en intégralité dAlain Finkielkraut
          
        ",BFMTV,proposal,2024-05-08T22:36:09.706Z,,0,0,1,HR_UZhz9dwQ,P,,0,0,0,0,0,1,0,0
v3tMSl6Fhfg,"
          
          
          
          
            Européennes J-30 : le point de vue de Jérôme Fourquet
          
        ",Le Figaro,proposal,2024-05-08T22:36:09.711Z,,0,0,1,HR_UZhz9dwQ,EU,,0,0,0,0,0,1,1,0
k3iCmBD4Z_A,"
          
          
          
          
            Le face-à-face avec Jordan Bardella - #OEED 16 octobre 2021
          
        ",On est en direct,proposal,2024-05-08T22:36:09.716Z,,0,0,1,HR_UZhz9dwQ,ED,,1,0,0,0,0,1,1,0
x5tx85IJWFQ,"
          
          
          
          
            Dissolution : Marion Maréchal accuse Bardella de mentir aux Français
          
        ",Public Sénat,proposal,2024-05-08T22:36:09.722Z,,0,0,1,HR_UZhz9dwQ,ED,,1,0,0,0,0,1,1,0
ghaGA3ZrvmU,"
          
          
          
          
            Le débat des européennes, avec Jordan Bardella et Raphaël Glucksmann
          
        ",France Inter,proposal,2024-05-08T22:36:09.729Z,,0,0,1,HR_UZhz9dwQ,ED,,1,0,1,0,0,1,1,0
lP-Jkmekuzg,"
          
          
          
          
            Un soldat américain aux mains de Poutine
          
        ",LCI,proposal,2024-05-08T22:36:09.736Z,,0,0,1,HR_UZhz9dwQ,P,,0,0,0,0,0,1,0,0
2237v_tTvsQ,"
          
          
          
          
            International : que pèse encore la France ?
          
        ",Public Sénat,proposal,2024-05-08T22:36:09.744Z,,0,0,1,HR_UZhz9dwQ,O,,0,0,0,0,0,0,0,1
2eRsM9vS8hw,"
          
          
          
          
            Le Grand Jury - Européennes : le grand débat (lintégrale)
          
        ",RTL,proposal,2024-05-08T22:36:09.767Z,,0,0,1,HR_UZhz9dwQ,EU,,0,0,0,0,0,1,1,0
70_vcb0EQtk,"
          
          
          
          
            🔴 DIRECT - Lintégrale de linterview de Jordan Bardella, président du RN, sur RMC
          
        ",RMC,proposal,2024-05-08T22:36:09.773Z,,0,0,1,HR_UZhz9dwQ,ED,,1,0,0,0,0,1,1,0
OHIV3chiDwc,"
          
          
          
          
            Des troupes russes massées aux frontières nord-est
          
        ",LCI,proposal,2024-05-08T22:36:09.780Z,,0,0,1,HR_UZhz9dwQ,P,,0,0,0,0,0,1,0,0
5ddvpTnRFt0,"
          
          
          
          
            Comment expliquer le succès du RN ? L’analyse d’Arnaud Benedetti
          
        ",Le Figaro,proposal,2024-05-08T22:36:09.818Z,,0,0,1,HR_UZhz9dwQ,ED,,1,0,0,0,0,1,0,0
OY2WvPg35-Y,"
          
          
          
          
            Européennes: le premier débat entre Jordan Bardella et Valérie Hayer en intégralité
          
        ",BFMTV,proposal,2024-05-08T22:36:09.826Z,,0,0,1,HR_UZhz9dwQ,ED,,1,0,0,0,1,1,1,0
Vx3KVIGeML8,"
          
          
          
          
            Attentat déjoué : comment le FSB voulait tuer Zelensky
          
        ",LCI,proposal,2024-05-08T22:36:09.832Z,,0,0,1,HR_UZhz9dwQ,P,,0,0,0,0,0,1,0,0
0JVO6mc1wX4,"
          
          
          
          
            Gaspard Proust - Chronique du 7 mai
          
        ",Europe 1,proposal,2024-05-08T22:36:09.838Z,,0,0,1,HR_UZhz9dwQ,P,,0,0,0,0,0,1,1,0
qY1ccZgOvl4,"
          
          
          
          
            Débat des européennes : tous contre Bardella
          
        ",Public Sénat,proposal,2024-05-08T22:36:09.846Z,,0,0,1,HR_UZhz9dwQ,P,,1,0,0,0,0,1,1,0
oQpryKlWYjY,Débat G. Attal / J. Bardella - Replay du 20H de TF1,TF1 INFO,regular,2024-05-08T22:39:13.837Z,,180000,1,2,,ED,,1,0,0,0,1,1,1,0
l4sgGLnIcwo,"
          
          
          
          
            Européennes: suivez le grand débat entre Jordan Bardella et Manuel Valls
          
        ",Le Figaro,proposal,2024-05-08T22:39:14.903Z,,0,1,2,oQpryKlWYjY,ED,,1,0,1,0,0,1,1,0
OYFqoS5EfmM,"
          
          
          
          
            Le débat J. Bardella / O. Véran, lintégrale en Replay
          
        ",LCI,proposal,2024-05-08T22:39:14.916Z,,0,1,2,oQpryKlWYjY,ED,,1,0,0,0,0,1,1,0
OY2WvPg35-Y,"
          
          
          
          
            Européennes: le premier débat entre Jordan Bardella et Valérie Hayer en intégralité
          
        ",BFMTV,proposal,2024-05-08T22:39:14.931Z,,0,1,2,oQpryKlWYjY,ED,,1,0,0,0,1,1,1,0
mw4L2xmEtS8,"
          
          
          
          
            Jordan Bardella face à Pascal Praud : Drame de Crépol, traitement médiatique, vie privée...
          
        ",Europe 1,proposal,2024-05-08T22:39:14.937Z,,0,1,2,oQpryKlWYjY,ED,,1,0,0,0,0,1,1,0
OdCvq3ViEsM,"
          
          
          
          
            Mathilde Panot/Marion Maréchal, le débat
          
        ",BFMTV,proposal,2024-05-08T22:39:14.944Z,,0,1,2,oQpryKlWYjY,ED,,1,1,0,0,0,1,0,0
oOdXYFGohf0,"
          
          
          
          
            Jordan Bardella répond à Eric Dupond-Moretti sur le tacle à Marine Le Pen !
          
        ",Touche pas à mon poste !,proposal,2024-05-08T22:39:14.951Z,,0,1,2,oQpryKlWYjY,ED,,1,0,0,0,1,1,1,0
qccNrOZPFoI,"
          
          
          
          
            Face à Poutine - Le coup dessai (1/3) | ARTE
          
        ",ARTE,proposal,2024-05-08T22:39:14.958Z,,0,1,2,oQpryKlWYjY,ED,,0,0,0,0,0,1,0,0
q9GAahkTLME,"
          
          
          
          
            Mineurs délinquants, Russie, Sciences Po… lintégralité de linterview de Marine Le Pen
          
        ",BFMTV,proposal,2024-05-08T22:39:14.966Z,,0,1,2,oQpryKlWYjY,ED,,1,0,0,0,0,1,0,0
2eRsM9vS8hw,"
          
          
          
          
            Le Grand Jury - Européennes : le grand débat (lintégrale)
          
        ",RTL,proposal,2024-05-08T22:39:14.972Z,,0,1,2,oQpryKlWYjY,EU,,0,0,0,0,0,1,1,0
MH30gpjYc3A,"
          
          
          
          
            Jordan Bardella aime bien Gabriel Attal ?
          
        ",CYRIL HANOUNA,proposal,2024-05-08T22:39:14.980Z,,0,1,2,oQpryKlWYjY,ED,,1,0,0,0,1,1,1,0
yssF2SYV8Uc,"
          
          
          
          
            Emmanuel Macron/Marine Le Pen : qui a fait la meilleure campagne ?
          
        ",Touche pas à mon poste !,proposal,2024-05-08T22:39:14.987Z,,0,1,2,oQpryKlWYjY,ED,,1,0,0,0,1,1,0,0
70_vcb0EQtk,"
          
          
          
          
            🔴 DIRECT - Lintégrale de linterview de Jordan Bardella, président du RN, sur RMC
          
        ",RMC,proposal,2024-05-08T22:39:14.993Z,,0,1,2,oQpryKlWYjY,ED,,1,0,0,0,0,1,1,0
qJ_J4UcECiw,"
          
          
          
          
            🔴 EN DIRECT - Jordan Bardella face aux Grandes Gueules !
          
        ",RMC,proposal,2024-05-08T22:39:14.998Z,,0,1,2,oQpryKlWYjY,ED,,1,0,0,0,0,1,1,0
okKCWWg80Fs,"
          
          
          
          
            1994 : Le débat entre Bernard Tapie et Jean-Marie Le Pen | Archive INA
          
        ",INA Politique,proposal,2024-05-08T22:39:15.003Z,,0,1,2,oQpryKlWYjY,ED,,1,0,0,0,0,1,0,0
tkFAzDwQGus,"
          
          
          
          
            Élections européennes : le débat entre Marion Maréchal (Reconquête) et Valérie Hayer (Renaissance)
          
        ",Europe 1,proposal,2024-05-08T22:39:15.010Z,,0,1,2,oQpryKlWYjY,ED,,1,0,0,0,1,1,1,0
iOAbBdlWgz0,"
          
          
          
          
            REPLAY - Débat de lentre-deux-tours : Marine Le Pen / Emmanuel Macron
          
        ",LCI,proposal,2024-05-08T22:39:15.016Z,,0,1,2,oQpryKlWYjY,ED,,1,0,0,0,1,1,0,0
vT1X8CtBsmY,"
          
          
          
          
            Les intérêts français ne sont plus défendus au niveau européen, déplore Jordan Bardella
          
        ",franceinfo,proposal,2024-05-08T22:39:15.022Z,,0,1,2,oQpryKlWYjY,ED,,1,0,0,0,0,1,1,0
131CcyG4b5U,"
          
          
          
          
            Mélenchon-Zemmour: revoir leur débat en intégralité
          
        ",BFMTV,proposal,2024-05-08T22:39:15.029Z,,0,1,2,oQpryKlWYjY,ED,,1,1,0,0,0,1,0,0
raizuOb7zDI,"
          
          
          
          
            Le gouvernement Attal a un sérieux problème de niveau estime Marion Maréchal
          
        ",LCI,proposal,2024-05-08T22:39:15.034Z,,0,1,2,oQpryKlWYjY,ED,,1,0,0,0,1,1,0,0
4UyHPu5rPL4,"
          
          
          
          
            Aya Nakamura aux JO : les héritières de Piaf valident - La Story - C à Vous - 27/03/2024
          
        ",C à vous,proposal,2024-05-08T22:39:15.041Z,,0,1,2,oQpryKlWYjY,O,,0,0,0,0,0,0,0,1
OY2WvPg35-Y,Européennes: le premier débat entre Jordan Bardella et Valérie Hayer en intégralité,BFMTV,regular,2024-05-08T22:42:19.217Z,,180000,2,3,,ED,,1,0,0,0,1,1,1,0
131CcyG4b5U,"
          
          
          
          
            Mélenchon-Zemmour: revoir leur débat en intégralité
          
        ",BFMTV,proposal,2024-05-08T22:42:20.324Z,,0,2,3,OY2WvPg35-Y,ED,,1,1,0,0,0,1,0,0
elgTG9oDiJY,"
          
          
          
          
            Replay du débat dEmmanuel Macron et Marine Le Pen, en intégrale
          
        ",TF1 INFO,proposal,2024-05-08T22:42:20.390Z,,0,2,3,OY2WvPg35-Y,ED,,1,0,0,0,1,1,0,0
Vl1QApX8--E,"
          
          
          
          
            Grand jury - Européennes 2024 : le grand débat | Évènement - 05/05/2024
          
        ",LCP - Assemblée nationale,proposal,2024-05-08T22:42:20.397Z,,0,2,3,OY2WvPg35-Y,EU,,0,0,0,0,0,1,1,0
l4sgGLnIcwo,"
          
          
          
          
            Européennes: suivez le grand débat entre Jordan Bardella et Manuel Valls
          
        ",Le Figaro,proposal,2024-05-08T22:42:20.403Z,,0,2,3,OY2WvPg35-Y,ED,,1,0,1,0,0,1,1,0
CbZPS-LPEuw,"
          
          
          
          
            Commandos Marines : limpitoyable sélection
          
        ",Investigations et Enquêtes,proposal,2024-05-08T22:42:20.408Z,,0,2,3,OY2WvPg35-Y,O,,0,0,0,0,0,1,0,0
q9GAahkTLME,"
          
          
          
          
            Mineurs délinquants, Russie, Sciences Po… lintégralité de linterview de Marine Le Pen
          
        ",BFMTV,proposal,2024-05-08T22:42:20.414Z,,0,2,3,OY2WvPg35-Y,ED,,1,0,0,0,0,1,0,0
OdCvq3ViEsM,"
          
          
          
          
            Mathilde Panot/Marion Maréchal, le débat
          
        ",BFMTV,proposal,2024-05-08T22:42:20.418Z,,0,2,3,OY2WvPg35-Y,ED,,1,1,0,0,0,1,0,0
eAXq_ZDxq1E,"
          
          
          
          
            Sarkozy-Gaddafi: Suspicions of Libyan financing - Le Documentaire Shock
          
        ",Investigations et Enquêtes,proposal,2024-05-08T22:42:20.423Z,,0,2,3,OY2WvPg35-Y,P,,0,0,0,0,0,0,0,1
ghaGA3ZrvmU,"
          
          
          
          
            Le débat des européennes, avec Jordan Bardella et Raphaël Glucksmann
          
        ",France Inter,proposal,2024-05-08T22:42:20.428Z,,0,2,3,OY2WvPg35-Y,ED,,1,0,1,0,0,1,1,0
sVyglW_4fTI,"
          
          
          
          
            Tariq Ramadan - On n’est pas couché 26 septembre 2009 #ONPC
          
        ",On nest pas couché,proposal,2024-05-08T22:42:20.433Z,,0,2,3,OY2WvPg35-Y,O,,0,0,0,0,0,0,0,1
oOdXYFGohf0,"
          
          
          
          
            Jordan Bardella répond à Eric Dupond-Moretti sur le tacle à Marine Le Pen !
          
        ",Touche pas à mon poste !,proposal,2024-05-08T22:42:20.438Z,,0,2,3,OY2WvPg35-Y,ED,,1,0,0,0,1,1,1,0
70_vcb0EQtk,"
          
          
          
          
            🔴 DIRECT - Lintégrale de linterview de Jordan Bardella, président du RN, sur RMC
          
        ",RMC,proposal,2024-05-08T22:42:20.444Z,,0,2,3,OY2WvPg35-Y,ED,,1,0,0,0,0,1,1,0
5Z89czT5OJI,"
          
          
          
          
            Scandale à Monaco : les révélations dun juge
          
        ",Investigations et Enquêtes,proposal,2024-05-08T22:42:20.452Z,,0,2,3,OY2WvPg35-Y,O,,0,0,0,0,0,0,0,1
